Hawaii,AUDI,A3 E-TRON,2016,Plug-in Hybrid Electric Vehicle (PHEV),16,HI
Hawaii,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,HI
Hawaii,FORD,C-MAX ENERGI,2016,Plug-in Hybrid Electric Vehicle (PHEV),19,HI
Hawaii,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,HI
Hawaii,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,HI
Hawaii,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,HI
Hawaii,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,HI
Hawaii,CHEVROLET,VOLT,2015,Plug-in Hybrid Electric Vehicle (PHEV),38,HI
Hawaii,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,HI
Hawaii,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,HI
Hawaii,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,HI
Hawaii,TOYOTA,PRIUS,2014,Plug-in Hybrid Electric Vehicle (PHEV),6,HI
Hawaii,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,HI
Hawaii,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,HI
Hawaii,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,HI
Hawaii,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,HI
Hawaii,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,HI
Hawaii,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,HI
Hawaii,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,HI
Hawaii,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,HI
Hawaii,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,HI
Hawaii,TESLA,MODEL X,2020,Battery Electric Vehicle (BEV),293,HI
Hawaii,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,HI
Hawaii,BMW,I3,2014,Plug-in Hybrid Electric Vehicle (PHEV),72,HI
Hawaii,BMW,I3,2017,Plug-in Hybrid Electric Vehicle (PHEV),97,HI
Hawaii,TESLA,MODEL X,2020,Battery Electric Vehicle (BEV),293,HI
Hawaii,TOYOTA,PRIUS PRIME,2018,Plug-in Hybrid Electric Vehicle (PHEV),25,HI
Hawaii,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,HI
Hawaii,CHEVROLET,VOLT,2014,Plug-in Hybrid Electric Vehicle (PHEV),38,HI
Hawaii,TOYOTA,PRIUS,2013,Plug-in Hybrid Electric Vehicle (PHEV),6,HI
Hawaii,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,HI
Hawaii,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,HI
Hawaii,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,HI
Hawaii,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,HI
Hawaii,TOYOTA,PRIUS,2012,Plug-in Hybrid Electric Vehicle (PHEV),6,HI
Hawaii,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,HI
Hawaii,MERCEDES-BENZ,B-CLASS ELECTRIC DRIVE,2015,Battery Electric Vehicle (BEV),87,HI
Hawaii,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,HI
Hawaii,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,HI
Hawaii,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,HI
Hawaii,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,HI
Hawaii,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,HI
Hawaii,BMW,I3,2017,Plug-in Hybrid Electric Vehicle (PHEV),97,HI
Hawaii,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,HI
Hawaii,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,HI
Hawaii,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,HI
Hawaii,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,HI
Hawaii,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),308,HI
Hawaii,NISSAN,LEAF,2020,Battery Electric Vehicle (BEV),149,HI
Hawaii,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,HI
Hawaii,SMART,SMART FORTWO ELECTRIC DRIVE COUPE,2015,Battery Electric Vehicle (BEV),68,HI
Hawaii,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,HI
Hawaii,CHEVROLET,BOLT EV,2020,Battery Electric Vehicle (BEV),259,HI
Hawaii,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,HI
Hawaii,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,HI
Hawaii,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,HI
Hawaii,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,HI
Hawaii,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,HI
Hawaii,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,HI
Hawaii,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,HI
Hawaii,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,HI
Hawaii,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,HI
Hawaii,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,HI
Hawaii,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,HI
