Missouri,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MO
Missouri,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MO
Missouri,CHRYSLER,PACIFICA,2018,Plug-in Hybrid Electric Vehicle (PHEV),33,MO
Missouri,FORD,FUSION ENERGI,2015,Plug-in Hybrid Electric Vehicle (PHEV),19,MO
Missouri,VOLVO,XC60 AWD,2018,Plug-in Hybrid Electric Vehicle (PHEV),17,MO
Missouri,NISSAN,LEAF,2011,Battery Electric Vehicle (BEV),73,MO
Missouri,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MO
Missouri,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MO
Missouri,BMW,I3,2017,Battery Electric Vehicle (BEV),81,MO
Missouri,TESLA,MODEL X,2019,Battery Electric Vehicle (BEV),289,MO
Missouri,TOYOTA,PRIUS,2012,Plug-in Hybrid Electric Vehicle (PHEV),6,MO
Missouri,BMW,I3,2014,Battery Electric Vehicle (BEV),81,MO
Missouri,NISSAN,LEAF,2016,Battery Electric Vehicle (BEV),84,MO
Missouri,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,MO
Missouri,FORD,FUSION,2020,Plug-in Hybrid Electric Vehicle (PHEV),26,MO
Missouri,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,MO
Missouri,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MO
Missouri,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,MO
Missouri,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,MO
Missouri,TESLA,MODEL S,2020,Battery Electric Vehicle (BEV),337,MO
Missouri,NISSAN,LEAF,2014,Battery Electric Vehicle (BEV),84,MO
Missouri,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,MO
Missouri,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,MO
Missouri,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,MO
