Oklahoma,TOYOTA,PRIUS,2012,Plug-in Hybrid Electric Vehicle (PHEV),6,OK
Oklahoma,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,OK
Oklahoma,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,OK
Oklahoma,MITSUBISHI,OUTLANDER,2018,Plug-in Hybrid Electric Vehicle (PHEV),22,OK
Oklahoma,FORD,FOCUS,2013,Battery Electric Vehicle (BEV),76,OK
Oklahoma,CHEVROLET,VOLT,2012,Plug-in Hybrid Electric Vehicle (PHEV),35,OK
Oklahoma,TESLA,MODEL X,2017,Battery Electric Vehicle (BEV),200,OK
Oklahoma,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,OK
Oklahoma,TESLA,MODEL X,2018,Battery Electric Vehicle (BEV),238,OK
Oklahoma,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,OK
Oklahoma,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,OK
Oklahoma,FORD,FOCUS,2014,Battery Electric Vehicle (BEV),76,OK
Oklahoma,VOLKSWAGEN,E-GOLF,2019,Battery Electric Vehicle (BEV),125,OK
Oklahoma,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OK
Oklahoma,MERCEDES-BENZ,C350E,2016,Plug-in Hybrid Electric Vehicle (PHEV),11,OK
Oklahoma,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OK
Oklahoma,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,OK
Oklahoma,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OK
Oklahoma,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,OK
Oklahoma,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OK
Oklahoma,TESLA,MODEL S,2016,Battery Electric Vehicle (BEV),210,OK
Oklahoma,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,OK
Oklahoma,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,OK
Oklahoma,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,OK
Oklahoma,FORD,FUSION ENERGI,2017,Plug-in Hybrid Electric Vehicle (PHEV),21,OK
Oklahoma,BMW,I3,2016,Plug-in Hybrid Electric Vehicle (PHEV),72,OK
Oklahoma,FIAT,500E,2014,Battery Electric Vehicle (BEV),87,OK
Oklahoma,MITSUBISHI,I-MIEV,2012,Battery Electric Vehicle (BEV),62,OK
Oklahoma,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,OK
Oklahoma,TESLA,MODEL S,2020,Battery Electric Vehicle (BEV),337,OK
Oklahoma,FORD,FUSION ENERGI,2016,Plug-in Hybrid Electric Vehicle (PHEV),19,OK
Oklahoma,CHEVROLET,VOLT,2012,Plug-in Hybrid Electric Vehicle (PHEV),35,OK
Oklahoma,FIAT,500E,2015,Battery Electric Vehicle (BEV),87,OK
Oklahoma,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,OK
