South Carolina,VOLVO,XC90 AWD,2016,Plug-in Hybrid Electric Vehicle (PHEV),13,SC
South Carolina,FORD,C-MAX ENERGI,2013,Plug-in Hybrid Electric Vehicle (PHEV),19,SC
South Carolina,CHEVROLET,VOLT,2018,Plug-in Hybrid Electric Vehicle (PHEV),53,SC
South Carolina,CHEVROLET,VOLT,2015,Plug-in Hybrid Electric Vehicle (PHEV),38,SC
South Carolina,TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,SC
South Carolina,JAGUAR,I-PACE,2019,Battery Electric Vehicle (BEV),234,SC
South Carolina,FORD,C-MAX ENERGI,2014,Plug-in Hybrid Electric Vehicle (PHEV),19,SC
South Carolina,CHEVROLET,BOLT,2017,Battery Electric Vehicle (BEV),238,SC
South Carolina,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,SC
South Carolina,TESLA,MODEL S,2014,Battery Electric Vehicle (BEV),208,SC
South Carolina,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,SC
South Carolina,TOYOTA,PRIUS PRIME,2018,Plug-in Hybrid Electric Vehicle (PHEV),25,SC
South Carolina,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,SC
South Carolina,TESLA,MODEL S,2020,Battery Electric Vehicle (BEV),330,SC
South Carolina,FIAT,500E,2014,Battery Electric Vehicle (BEV),87,SC
South Carolina,TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,SC
South Carolina,CHEVROLET,VOLT,2012,Plug-in Hybrid Electric Vehicle (PHEV),35,SC
South Carolina,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,SC
South Carolina,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,SC
South Carolina,AUDI,E-TRON,2019,Battery Electric Vehicle (BEV),204,SC
South Carolina,FORD,FUSION ENERGI,2015,Plug-in Hybrid Electric Vehicle (PHEV),19,SC
South Carolina,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,SC
South Carolina,TESLA,MODEL S,2015,Battery Electric Vehicle (BEV),208,SC
South Carolina,AUDI,E-TRON,2019,Battery Electric Vehicle (BEV),204,SC
South Carolina,BMW,530E XDRIVE,2018,Plug-in Hybrid Electric Vehicle (PHEV),14,SC
South Carolina,KIA,SOUL,2018,Battery Electric Vehicle (BEV),111,SC
South Carolina,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,SC
South Carolina,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,SC
South Carolina,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,SC
South Carolina,NISSAN,LEAF,2019,Battery Electric Vehicle (BEV),150,SC
South Carolina,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,SC
South Carolina,VOLKSWAGEN,E-GOLF,2019,Battery Electric Vehicle (BEV),125,SC
South Carolina,BMW,I3,2014,Plug-in Hybrid Electric Vehicle (PHEV),72,SC
South Carolina,TESLA,MODEL Y,2020,Battery Electric Vehicle (BEV),291,SC
South Carolina,NISSAN,LEAF,2012,Battery Electric Vehicle (BEV),73,SC
South Carolina,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,SC
South Carolina,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,SC
South Carolina,TESLA,MODEL X,2016,Battery Electric Vehicle (BEV),200,SC
South Carolina,NISSAN,LEAF,2015,Battery Electric Vehicle (BEV),84,SC
South Carolina,TOYOTA,PRIUS PRIME,2020,Plug-in Hybrid Electric Vehicle (PHEV),25,SC
South Carolina,FIAT,500E,2016,Battery Electric Vehicle (BEV),84,SC
South Carolina,FORD,FUSION ENERGI,2014,Plug-in Hybrid Electric Vehicle (PHEV),19,SC
South Carolina,VOLVO,XC90 AWD,2016,Plug-in Hybrid Electric Vehicle (PHEV),13,SC
South Carolina,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,SC
South Carolina,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,SC
South Carolina,TOYOTA,PRIUS PRIME,2017,Plug-in Hybrid Electric Vehicle (PHEV),25,SC
South Carolina,FORD,C-MAX ENERGI,2014,Plug-in Hybrid Electric Vehicle (PHEV),19,SC
South Carolina,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,SC
South Carolina,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,SC
South Carolina,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,SC
South Carolina,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),266,SC
South Carolina,AUDI,E-TRON,2019,Battery Electric Vehicle (BEV),204,SC
South Carolina,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,SC
South Carolina,TESLA,MODEL S,2017,Battery Electric Vehicle (BEV),210,SC
