Wyoming,KIA,NIRO PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,WY
Wyoming,CHEVROLET,VOLT,2013,Plug-in Hybrid Electric Vehicle (PHEV),38,WY
Wyoming,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,WY
Wyoming,JAGUAR,I-PACE,2020,Battery Electric Vehicle (BEV),234,WY
Wyoming,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,WY
Wyoming,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,WY
Wyoming,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,WY
Wyoming,CHEVROLET,BOLT,2019,Battery Electric Vehicle (BEV),238,WY
Wyoming,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),308,WY
Wyoming,NISSAN,LEAF,2013,Battery Electric Vehicle (BEV),75,WY
Wyoming,VOLKSWAGEN,E-GOLF,2016,Battery Electric Vehicle (BEV),83,WY
Wyoming,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,WY
Wyoming,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,WY
Wyoming,TESLA,MODEL S,2014,Battery Electric Vehicle (BEV),208,WY
Wyoming,CHEVROLET,VOLT,2014,Plug-in Hybrid Electric Vehicle (PHEV),38,WY
Wyoming,TESLA,MODEL 3,2019,Battery Electric Vehicle (BEV),220,WY
Wyoming,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,WY
Wyoming,CHEVROLET,VOLT,2014,Plug-in Hybrid Electric Vehicle (PHEV),38,WY
Wyoming,TESLA,MODEL S,2019,Battery Electric Vehicle (BEV),270,WY
Wyoming,TESLA,MODEL S,2018,Battery Electric Vehicle (BEV),249,WY
Wyoming,VOLVO,XC90 AWD,2017,Plug-in Hybrid Electric Vehicle (PHEV),14,WY
Wyoming,CHEVROLET,VOLT,2017,Plug-in Hybrid Electric Vehicle (PHEV),53,WY
Wyoming,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,WY
Wyoming,FIAT,500E,2015,Battery Electric Vehicle (BEV),87,WY
Wyoming,AUDI,E-TRON,2019,Battery Electric Vehicle (BEV),204,WY
Wyoming,TESLA,MODEL 3,2018,Battery Electric Vehicle (BEV),215,WY
Wyoming,MITSUBISHI,OUTLANDER,2018,Plug-in Hybrid Electric Vehicle (PHEV),22,WY
Wyoming,NISSAN,LEAF,2018,Battery Electric Vehicle (BEV),151,WY
Wyoming,TESLA,MODEL 3,2020,Battery Electric Vehicle (BEV),322,WY
Wyoming,NISSAN,LEAF,2017,Battery Electric Vehicle (BEV),107,WY
Wyoming,FORD,FUSION ENERGI PLUG-IN HYBRID,2019,Plug-in Hybrid Electric Vehicle (PHEV),26,WY
